原页码,菌株名称,DSM编号,提取的编号,WGS_ID,WGS_状态,WGS_文件,16S_ID,16S_状态,16S_文件
1,Bacillus sp. DSM 14,DSM 14,DSM 14,GCF_050433465.1,成功,DSM_Bacillus sp. DSM 14_WGS_GCF_050433465.1.fasta,,,
1,Bacillus licheniformis DSM 15,DSM 15,DSM 15,GCF_046358965.1,成功,DSM_Bacillus licheniformis DSM 15_WGS_GCF_046358965.1.fasta,,,
2,Paenibacillus sp. DSM 34,DSM 34,DSM 34;ATCC 14176,GCF_051967555.1,成功,DSM_Paenibacillus sp. DSM 34_WGS_GCF_051967555.1.fasta,AJ345022,成功,DSM_Paenibacillus sp. DSM 34_16S_AJ345022.fasta
2,Comamonas testosteroni DSM 38,DSM 38,ATCC 17454;DSM 38,GCA_031996395.1,成功,DSM_Comamonas testosteroni DSM 38_WGS_GCA_031996395.1.fasta,,,
2,Agromyces mediolanus DSM 40,DSM 40,ATCC 13930;DSM 40,GCF_042428935.1,成功,DSM_Agromyces mediolanus DSM 40_WGS_GCF_042428935.1.fasta,,,
2,Acidovorax facilis DSM 41,DSM 41,DSM 41,GCF_050268665.1,成功,DSM_Acidovorax facilis DSM 41_WGS_GCF_050268665.1.fasta,,,
2,Serratia marcescens DSM 48,DSM 48,DSM 48;CCM 846,GCF_047305685.1,成功,DSM_Serratia marcescens DSM 48_WGS_GCF_047305685.1.fasta,,,
2,Serratia plymuthica DSM 49,DSM 49,ATCC 7462;CCM 581;DSM 49,GCF_016027115.1,成功,DSM_Serratia plymuthica DSM 49_WGS_GCF_016027115.1.fasta,AF286871,成功,DSM_Serratia plymuthica DSM 49_16S_AF286871.fasta
2,Clostridium beijerinckii DSM 53,DSM 53,ATCC 14949;DSM 53;NCIMB 9503,GCF_002006205.1,成功,DSM_Clostridium beijerinckii DSM 53_WGS_GCF_002006205.1.fasta,,,
3,Metabacillus fastidiosus DSM 72,DSM 72,DSM 72,,,,,,
3,Metabacillus fastidiosus DSM 73,DSM 73,DSM 73,,,,,,
3,Spirosoma linguale DSM 75,DSM 75,DSM 75,GCA_943327065.2,成功,DSM_Spirosoma linguale DSM 75_WGS_GCA_943327065.2.fasta,,,
3,Metabacillus fastidiosus DSM 76,DSM 76,DSM 76,,,,,,
3,Metabacillus fastidiosus DSM 77,DSM 77,DSM 77,GCF_004801455.1,成功,DSM_Metabacillus fastidiosus DSM 77_WGS_GCF_004801455.1.fasta,,,
3,Metabacillus fastidiosus DSM 78,DSM 78,DSM 78,,,,,,
3,Metabacillus fastidiosus DSM 82,DSM 82,DSM 82,,,,,,
3,Metabacillus fastidiosus DSM 83,DSM 83,DSM 83,,,,,,
3,Pseudomonas putida DSM 84,DSM 84,DSM 84,GCF_977007915.1,成功,DSM_Pseudomonas putida DSM 84_WGS_GCF_977007915.1.fasta,,,
3,Azotobacter vinelandii DSM 85,DSM 85,DSM 85,GCF_002220155.1,成功,DSM_Azotobacter vinelandii DSM 85_WGS_GCF_002220155.1.fasta,,,
3,Azotobacter vinelandii DSM 86,DSM 86,DSM 86,,,,,,
3,Azomonas agilis DSM 89,DSM 89,DSM 89;ATCC 12838,,,,,,
3,Priestia megaterium DSM 90,DSM 90,DSM 90,GCF_053555955.1,成功,DSM_Priestia megaterium DSM 90_WGS_GCF_053555955.1.fasta,,,
4,Andreesenella formicoacetica DSM 94,DSM 94,DSM 94;ATCC 27077,,,,,,
4,Andreesenella formicoacetica DSM 95,DSM 95,DSM 95,,,,,,
4,Andreesenella formicoacetica DSM 96,DSM 96,DSM 96,,,,,,
4,Andreesenella formicoacetica DSM 97,DSM 97,DSM 97,,,,,,
4,Andreesenella formicoacetica DSM 98,DSM 98,ATCC 27078;DSM 98,,,,,,
4,Andreesenella formicoacetica DSM 99,DSM 99,DSM 99,,,,,,
4,Andreesenella formicoacetica DSM 100,DSM 100,DSM 100,,,,,,
4,Rhodospirillum rubrum DSM 107,DSM 107,DSM 107,GCF_016583925.1,成功,DSM_Rhodospirillum rubrum DSM 107_WGS_GCF_016583925.1.fasta,,,
