原页码,菌株名称,JCM编号,BacDive链接,WGS_ID,WGS_状态,WGS_文件,16S_ID,16S_状态,16S_文件
1459,Lactobacillus delbrueckii bulgaricus JCM 1001,1001,https://bacdive.dsmz.de/strain/160835,N/A,N/A,,AB289079,成功,Lactobacillus delbrueckii bulgaricus JCM 1001_16S_AB289079.fasta
1459,Lactobacillus helveticus JCM 1003,1003,https://bacdive.dsmz.de/strain/134852,N/A,N/A,,DQ123572,成功,Lactobacillus helveticus JCM 1003_16S_DQ123572.fasta
1459,Lactobacillus helveticus JCM 1004,1004,https://bacdive.dsmz.de/strain/139090,GCA_018408455,成功,Lactobacillus helveticus JCM 1004_WGS_GCA_018408455.fasta,AB289148,成功,Lactobacillus helveticus JCM 1004_16S_AB289148.fasta
1459,Lactobacillus helveticus JCM 1005,1005,https://bacdive.dsmz.de/strain/160849,GCA_015698145,成功,Lactobacillus helveticus JCM 1005_WGS_GCA_015698145.fasta,AB289149,成功,Lactobacillus helveticus JCM 1005_16S_AB289149.fasta
1459,Lactobacillus helveticus JCM 1006,1006,https://bacdive.dsmz.de/strain/160853,GCA_015698165,成功,Lactobacillus helveticus JCM 1006_WGS_GCA_015698165.fasta,AB289150,成功,Lactobacillus helveticus JCM 1006_16S_AB289150.fasta
1459,Lactobacillus helveticus JCM 1007,1007,https://bacdive.dsmz.de/strain/160862,GCA_019455935,成功,Lactobacillus helveticus JCM 1007_WGS_GCA_019455935.fasta,AB289151,成功,Lactobacillus helveticus JCM 1007_16S_AB289151.fasta
1459,Lactobacillus helveticus JCM 1008,1008,https://bacdive.dsmz.de/strain/160865,N/A,N/A,,AB289152,成功,Lactobacillus helveticus JCM 1008_16S_AB289152.fasta
1459,Lactobacillus delbrueckii lactis JCM 1010,1010,https://bacdive.dsmz.de/strain/160874,N/A,N/A,,LC685624,成功,Lactobacillus delbrueckii lactis JCM 1010_16S_LC685624.fasta
1459,Lactobacillus JCM 1013,1013,https://bacdive.dsmz.de/strain/160878,N/A,N/A,,AB289085,成功,Lactobacillus JCM 1013_16S_AB289085.fasta
1459,Lactobacillus delbrueckii JCM 1014,1014,https://bacdive.dsmz.de/strain/160879,N/A,N/A,,AB690241,成功,Lactobacillus delbrueckii JCM 1014_16S_AB690241.fasta
1459,Lactobacillus delbrueckii lactis JCM 1016,1016,https://bacdive.dsmz.de/strain/160882,N/A,N/A,,AB289087,成功,Lactobacillus delbrueckii lactis JCM 1016_16S_AB289087.fasta
1460,Lactobacillus gasseri JCM 1017,1017,https://bacdive.dsmz.de/strain/136237,N/A,N/A,,KF316908,成功,Lactobacillus gasseri JCM 1017_16S_KF316908.fasta
1460,Lactobacillus gasseri JCM 1019,1019,https://bacdive.dsmz.de/strain/160894,N/A,N/A,,AB289129,成功,Lactobacillus gasseri JCM 1019_16S_AB289129.fasta
1460,Lactobacillus acidophilus JCM 1021,1021,https://bacdive.dsmz.de/strain/135293,N/A,N/A,,AB289011,成功,Lactobacillus acidophilus JCM 1021_16S_AB289011.fasta
1460,Lactobacillus johnsonii JCM 1022,1022,https://bacdive.dsmz.de/strain/160897,N/A,N/A,,AB289173,成功,Lactobacillus johnsonii JCM 1022_16S_AB289173.fasta
1460,Lactobacillus acidophilus JCM 1023,1023,https://bacdive.dsmz.de/strain/135306,N/A,N/A,,AB289012,成功,Lactobacillus acidophilus JCM 1023_16S_AB289012.fasta
1460,Lactobacillus gasseri JCM 1025,1025,https://bacdive.dsmz.de/strain/160898,GCA_003307315,成功,Lactobacillus gasseri JCM 1025_WGS_GCA_003307315.fasta,LC638729,成功,Lactobacillus gasseri JCM 1025_16S_LC638729.fasta
1460,Lactobacillus gasseri JCM 1026,1026,https://bacdive.dsmz.de/strain/160899,N/A,N/A,,AB289131,成功,Lactobacillus gasseri JCM 1026_16S_AB289131.fasta
1460,Lactobacillus acidophilus JCM 1028,1028,https://bacdive.dsmz.de/strain/160902,N/A,N/A,,AB289013,成功,Lactobacillus acidophilus JCM 1028_16S_AB289013.fasta
1460,Lactobacillus amylovorus JCM 1029,1029,https://bacdive.dsmz.de/strain/138080,N/A,N/A,,AB289029,成功,Lactobacillus amylovorus JCM 1029_16S_AB289029.fasta
1460,Lactobacillus crispatus JCM 1030,1030,https://bacdive.dsmz.de/strain/160903,N/A,N/A,,AB289066,成功,Lactobacillus crispatus JCM 1030_16S_AB289066.fasta
1460,Lactobacillus gasseri JCM 1031,1031,https://bacdive.dsmz.de/strain/160905,N/A,N/A,,AB289132,成功,Lactobacillus gasseri JCM 1031_16S_AB289132.fasta
1460,Lactobacillus amylovorus JCM 1032,1032,https://bacdive.dsmz.de/strain/160906,N/A,N/A,,AB289030,成功,Lactobacillus amylovorus JCM 1032_16S_AB289030.fasta
1460,Lactobacillus acidophilus JCM 1033,1033,https://bacdive.dsmz.de/strain/160907,N/A,N/A,,AB289014,成功,Lactobacillus acidophilus JCM 1033_16S_AB289014.fasta
1460,Lactobacillus acidophilus JCM 1034,1034,https://bacdive.dsmz.de/strain/160908,N/A,N/A,,AB289015,成功,Lactobacillus acidophilus JCM 1034_16S_AB289015.fasta
1460,Lactobacillus acidophilus JCM 1035,1035,https://bacdive.dsmz.de/strain/160915,N/A,N/A,,AB289016,成功,Lactobacillus acidophilus JCM 1035_16S_AB289016.fasta
1460,Lactobacillus gallinarum JCM 1036,1036,https://bacdive.dsmz.de/strain/160925,N/A,N/A,,AB289121,成功,Lactobacillus gallinarum JCM 1036_16S_AB289121.fasta
1460,Lactobacillus kitasatonis JCM 1038,1038,https://bacdive.dsmz.de/strain/160943,N/A,N/A,,AB289189,成功,Lactobacillus kitasatonis JCM 1038_16S_AB289189.fasta
1460,Ligilactobacillus salivarius JCM 1040,1040,https://bacdive.dsmz.de/strain/160944,GCA_002079525,成功,Ligilactobacillus salivarius JCM 1040_WGS_GCA_002079525.fasta,N/A,N/A,
