页码,菌株名称,DSM编号,WGS_ID,WGS_状态,WGS_文件,16S_ID,16S_状态,16S_文件,Complete_ID,Complete_状态,Complete_文件
1,Heyndrickxia coagulans DSM 1,DSM 1,ALAS00000000,成功,Heyndrickxia coagulans DSM 1_WGS_ALAS00000000.fasta,DQ297928,成功,Heyndrickxia coagulans DSM 1_16S_DQ297928.fasta,CP009709,成功,Heyndrickxia coagulans DSM 1_Complete_CP009709.fasta
1,Paenibacillus macquariensis subsp. macquariensis DSM 2,DSM 2,GCF_900156375.1,成功,Paenibacillus macquariensis subsp. macquariensis DSM 2_WGS_GCF_900156375.1.fasta,N/A,N/A,,N/A,N/A,
1,Sporosarcina psychrophila DSM 3,DSM 3,N/A,N/A,,NZ_CP027476,成功,Sporosarcina psychrophila DSM 3_16S_NZ_CP027476.fasta,N/A,N/A,
1,Sporosarcina globispora DSM 4,DSM 4,LGUF00000000,成功,Sporosarcina globispora DSM 4_WGS_LGUF00000000.fasta,N/A,N/A,,N/A,N/A,
1,Psychrobacillus insolitus DSM 5,DSM 5,N/A,N/A,,AM980508,成功,Psychrobacillus insolitus DSM 5_16S_AM980508.fasta,N/A,N/A,
1,Peribacillus psychrosaccharolyticus DSM 6,DSM 6,GCF_050480285.1,成功,Peribacillus psychrosaccharolyticus DSM 6_WGS_GCF_050480285.1.fasta,N/A,N/A,,N/A,N/A,
1,Bacillus amyloliquefaciens DSM 7,DSM 7,N/A,N/A,,AB006920,成功,Bacillus amyloliquefaciens DSM 7_16S_AB006920.fasta,FN597644,成功,Bacillus amyloliquefaciens DSM 7_Complete_FN597644.fasta
1,Lederbergia lenta DSM 9,DSM 9,GCF_965139165.1,成功,Lederbergia lenta DSM 9_WGS_GCF_965139165.1.fasta,N/A,N/A,,N/A,N/A,
1,Bacillus subtilis DSM 10,DSM 10,N/A,N/A,,LN681568,成功,Bacillus subtilis DSM 10_16S_LN681568.fasta,N/A,N/A,
1,Niallia circulans DSM 11,DSM 11,GCF_050971705.1,成功,Niallia circulans DSM 11_WGS_GCF_050971705.1.fasta,N/A,N/A,,N/A,N/A,
1,Cytobacillus firmus DSM 12,DSM 12,GCF_044793645.1,成功,Cytobacillus firmus DSM 12_WGS_GCF_044793645.1.fasta,N/A,N/A,,N/A,N/A,
1,Bacillus licheniformis DSM 13,DSM 13,GCF_977007745.1,成功,Bacillus licheniformis DSM 13_WGS_GCF_977007745.1.fasta,N/A,N/A,,N/A,N/A,
1,Bacillus sp. DSM 14,DSM 14,N/A,N/A,,N/A,N/A,,N/A,N/A,
1,Bacillus licheniformis DSM 15,DSM 15,N/A,N/A,,N/A,N/A,,N/A,N/A,
1,Geobacillus stearothermophilus DSM 22,DSM 22,N/A,N/A,,FN428694,成功,Geobacillus stearothermophilus DSM 22_16S_FN428694.fasta,N/A,N/A,
1,Pseudobacillus badius DSM 23,DSM 23,GCF_050574985.1,成功,Pseudobacillus badius DSM 23_WGS_GCF_050574985.1.fasta,N/A,N/A,,N/A,N/A,
